ID	Disminucion	Ventas
1	3	24.303681
1	3	21.24787
1	3	143.207438
2	3	0.224555
1	3	4.512464
2	3	1.674372
2	3	54.648384
2	3	32.676363
2	3	6.013988
2	2	0.864433
2	2	247.707318
1	2	192.511129
1	2	27.628041
1	2	76.025153
2	3	59.614815
1	2	959.079073
2	3	5.78949
1	1	39.599552
1	3	78.243375
2	3	169.978091
2	3	168.163704
1	2	19.575706
1	3	98.964333
1	3	164.444806
2	3	10.536696
2	3	133.28819
2	2	30.059032
2	3	63.90988
2	2	11.476746
1	3	92.528096
1	3	61.419434
1	3	341.007705
2	3	52.059826
2	3	5.901859
2	3	4.901197
1	3	20.233272
1	1	436.396191
1	1	1915.281148
1	2	385.119425
2	3	8.233603
1	3	63.525559
1	3	276.837223
2	3	34.61898
1	2	411.150105
2	3	102.232633
1	3	158.436275
1	2	27.036079
2	3	5.919735
1	2	256.856578
2	3	104.573534
2	3	44.934868
2	3	13.432765
1	3	7.221795
1	2	256.856578
2	3	13.432765
1	3	101.423568
1	1	173.087832
2	2	26.317662
1	3	81.54403
1	3	528.263363
1	3	528.263363
1	3	163.63982
1	3	269.815755
1	2	256.856578
1	3	66.050537
1	3	25.472596
1	3	8.536426
2	3	18.482555
1	2	55.410326
2	3	2.309423
2	2	4.03139
1	3	82.316376
1	2	77.291086
2	2	187.205745
1	3	3.459686
2	3	6.870732
2	3	34.177942
1	3	234.761418
1	3	192.511129
1	2	54.648384
2	3	0.828078
2	2	187.205745
2	3	23.487761
2	3	7.268472
2	3	0.385832
1	3	3.048616
1	2	66.290151
2	3	63.95143
1	3	66.290151
1	2	7.215764
1	3	18.576756
1	3	17.712781
2	3	0.435345
2	3	1.890787
2	3	154.232764
2	3	1.677627
2	3	13.81742
2	3	11.880444
2	3	1.512146
2	3	45.697514
2	3	0.5955
2	3	2.921835
2	3	3.375336
1	3	13.519699
2	2	45.697514
2	3	32.359673
1	3	24.810053
1	3	3.217914
1	3	10.743877
2	3	40.433567
1	1	101.093846
1	3	127.194888
2	3	33.028825
2	3	3.3311
2	3	155.58199
2	3	9.429818
1	3	155.58199
2	3	12.559593
2	2	18.1605
1	2	155.58199
1	3	155.58199
1	2	8.017823
2	3	1.38431
2	2	4.029807
1	3	8.82971
1	1	83.572384
1	3	155.58199
1	2	94.393484
2	3	1.356
1	3	12.376115
1	1	4.952261
1	2	20.548348
1	3	3.104134
1	1	241.223649
2	3	241.223649
1	3	64.511173
2	1	1.275
1	3	20.349408
1	3	59.156164
2	2	22.535725
1	3	2523.453336
2	3	5505.89833
1	3	3.997557
2	2	8.778251
2	2	1.242129
2	3	5.810988
1	3	9.566878
1	3	81.579958
2	3	107.312438
2	3	36.738902
2	3	6.081033
1	3	3.815287
2	3	5.036845
1	2	18.118359
2	3	0.49711
2	3	29.537179
2	2	0.306187
2	1	133.28819
1	3	19.337723
2	3	25.455848
2	2	1.336894
1	3	133.28819
2	3	133.28819
1	3	51.19989
2	3	112.660324
2	2	1.087065
1	3	112.660324
1	3	133.28819
2	3	5.641903
2	3	0.410984
1	3	30.742966
2	3	11.372504
2	3	3.296256
2	3	1347.250035
2	3	22.249689
2	3	156.962763
2	3	47.262486
2	3	5.959998
2	3	225.541167
2	3	1.547027
2	2	152.242308
2	3	247.66384
1	2	39.241949
2	3	4.810995
1	3	21.01539
2	3	4.499597
2	3	12.38182
2	3	110.630047
2	3	1.217694
2	3	25.774218
2	3	0.980145
2	2	10.857449
1	3	39.241949
2	3	2.290389
2	3	8.18411
1	3	21.496304
1	3	36.181952
2	3	269.023937
2	2	4.914711
2	3	7.097846
1	3	3.377214
2	3	0.476728
1	3	7.097846
2	2	18.832573
1	3	18.832573
2	1	23.406521
2	3	21.496304
2	3	4.514064
2	3	1.556405
1	3	12.098777
2	2	1.9261
1	3	23.406521
2	1	47.186769
2	3	12.369886
2	2	18.481074
1	1	5.919579
1	3	260.592608
1	3	219.291562
2	3	4.154907
1	3	5.02838
1	3	1543.100431
1	3	7.324274
2	3	1.114375
2	2	1543.100431
1	3	38.304845
1	3	30.059032
1	3	10.08866
2	3	48.640819
1	3	1.9956
2	3	100.918099
2	3	106.840405
2	3	8.964435
2	3	7.616213
1	3	1.415633
1	3	133.28819
2	3	2.024827
1	2	18.315703
2	2	7.268472
2	3	2.318125
2	2	10.953276
2	3	8.778251
1	3	16.603513
1	3	8.472276
1	2	12.519473
2	3	42.686342
2	3	6.342321
