x	y	z	v
5.67181862728683	4.50027968880397	8.04735914030966	3.97255990607026
5.13675255150757	5.93298962269221	6.61464920642142	10.0553679528624
5.90109551502149	2.55670900795603	9.9909298211576	9.81973120836391
4.64113711790314	3.35679199780211	9.19084683131153	4.32372032026526
6.1559991215797	4.57209009379194	7.97554873532169	4.35006397531505
6.21013689789419	3.99488220706849	8.55275662204514	5.54152450045607
3.44725668367092	6.54254601574317	6.00509281337046	11.0658484342923
4.28729097456289	3.9467936006028	8.60084522851083	5.70473493577928
5.14031426549673	1.67119636327268	10.8764424658409	11.9352434664826
5.26250017744152	2.66741001034965	9.88022881876398	4.3086373391384
7.86711854834061	6.18531986222143	6.3623189668922	4.35452896638609
4.99957691528499	0.952549896087617	11.595088933026	5.91006197910409
2.875924329777	3.0768814415186	9.47075738759503	7.21609205605548
5.85371463987465	5.87010641078743	6.6775324183262	4.02006293101958
6.67829872969605	3.69328327505143	8.8543555540622	12.1809485370644
8.26773936702713	3.27617283984584	9.27146598926779	2.57341475873013
3.48530597198131	2.76861916996115	9.77901965915248	11.5543153346603
5.74253217918975	5.54115975413146	7.00647907498217	12.2089491234324
6.11604564834841	6.52078976849684	6.02684906061679	10.7037545309328
0.707812729553183	2.09653856560531	10.4511002635083	11.505713354363
4.52937030822754	1.7945799342931	10.7530588948205	5.21252130854508
2.02867328768504	5.18856095241507	7.35907787669856	11.8918128660743
6.8011176180824	4.11512503840464	8.432513790709	3.95595433593643
7.97109448791487	5.90030199085455	6.64733683825908	10.2553955055679
4.41045267844055	4.32117844112666	8.22646038798697	5.18233989035339
4.50988912568354	5.77964880468499	6.76799002442865	5.67776388357127
5.82237065661993	4.52124455120418	8.02639427790945	12.1411247204719
2.48143471137556	10.2125846913879	2.33505413772578	3.71643630423301
6.0654331046507	5.97066787771223	6.5769709514014	3.62042019425735
7.65944955967147	2.74533655123156	9.80230227788207	4.59262427726673
7.47857992203814	1.56914640724475	10.9784924218689	11.9670121457925
3.37243603720232	5.55359581866354	6.99404301045009	11.8553131913316
3.76602641839173	4.68617274831412	7.86146608079951	10.7176949390544
-0.00523770889395347	2.62996261198839	9.91767621712524	3.33230728901045
3.18596039968227	2.77688777729109	9.77075105182254	11.0316555851769
6.95989790069992	4.59085853083993	7.9567802982737	9.91658800692971
5.77806821236769	4.88496064080469	7.66267818830894	4.28203618975572
3.67665907801356	3.14982473341433	9.3978140956993	5.08418310127078
0.851843700963512	3.56655745514087	8.98108137397276	6.58112838966376
2.79370495375747	4.08440495880289	8.46323387031074	5.16231611691066
2.40781135092097	4.29033991661519	8.25729891249844	11.1869387526789
6.85486515235518	2.4298199569825	10.1178188721311	12.6567462043774
7.36624128434093	2.83854588565218	9.70909294346145	4.64243134770735
6.18110258535374	4.09986266693666	8.44777616217697	11.0517517947295
7.22290670220674	3.92695255844209	8.62068627067154	11.7554661637088
2.87133189125673	2.67265070256941	9.87498812654422	6.24048627125422
2.67612897740638	2.71822931399961	9.82940951511402	11.0211181663808
8.9636108530042	5.98816875314766	6.55947007596597	10.3393034132398
5.06087612578282	3.95116787896855	8.59647095014508	10.1376336117125
4.97844401537785	2.09399473245093	10.4536440966627	4.65404709940174
5.06519323372653	5.09047778642856	7.45716104268508	11.2726870724462
6.51981609935701	4.94351814615336	7.60412068296027	5.26971506964294
2.58221179992033	6.88600354672517	5.66163528238846	12.0219966776909
